Month,Oil_USD_per_bbl,Aluminum_USD_per_mt,Copper_USD_per_mt,Nickel_USD_per_mt,Zinc_USD_per_mt,Gold_USD_per_troy_oz,Silver_USD_per_troy_oz
2003-05-01,26.06491269841,1398.488,1648.275,8330.625,775.65,355.683,4.7413
2003-06-01,27.91714285714,1409.845,1686.5,8874.762,790.69,356.352,4.5262
2003-07-01,28.59158761528,1436.087,1710.0,8797.391,827.543,351.02,4.797
2003-08-01,29.67555555556,1456.313,1760.275,9351.375,817.875,359.768,4.9893
2003-09-01,26.88233044733,1415.568,1789.523,9965.341,818.182,378.945,5.1708
2003-10-01,29.01449275362,1474.25,1920.543,11047.17,897.957,378.92,5.0022
2003-11-01,29.12274074074,1508.338,2055.425,12086.5,914.525,389.91,5.1777
2003-12-01,29.96920634921,1554.905,2201.286,14162.5,977.762,406.953,5.6276
2004-01-01,31.36771929825,1606.488,2423.571,15326.548,1017.0,413.788,6.3005
2004-02-01,31.33133333333,1685.625,2759.525,15145.125,1087.675,404.878,6.4406
2004-03-01,33.66507246377,1655.989,3008.717,13715.0,1105.783,406.667,7.2254
2004-04-01,33.71139249639,1729.738,2948.725,12848.125,1032.725,403.26,7.1486
2004-05-01,37.55789891395,1623.224,2733.5,11118.289,1028.289,383.779,5.8674
2004-06-01,35.54274170274,1677.716,2686.705,13533.523,1021.455,392.373,5.8618
2004-07-01,37.891998557,1709.273,2808.432,15023.295,988.318,398.091,6.3141
2004-08-01,42.08406926407,1692.19,2846.095,13679.524,975.81,400.51,6.66
2004-09-01,41.59682539683,1723.602,2894.864,13270.909,975.182,405.275,6.4034
2004-10-01,46.88111111111,1819.57,3012.238,14404.286,1064.952,420.464,7.095
2004-11-01,42.12554545455,1813.898,3122.795,14045.455,1095.636,439.375,7.4926
2004-12-01,39.04494444444,1849.179,3145.452,13768.81,1180.214,442.079,7.085
2005-01-01,42.97227777778,1834.425,3170.0,14505.0,1246.375,424.03,6.619
2005-02-01,44.81821052632,1882.85,3253.7,15349.5,1326.175,423.35,7.03
2005-03-01,50.94287878788,1979.85,3379.49,16190.65,1372.15,433.85,7.2282
2005-04-01,50.64047619048,1894.286,3394.476,16141.905,1300.143,429.233,7.1188
2005-05-01,47.82657287157,1743.7,3249.1,16931.5,1243.625,421.873,7.0224
2005-06-01,53.8903030303,1731.295,3524.068,16159.545,1275.727,430.657,7.3105
2005-07-01,56.36580952381,1778.786,3614.214,14580.714,1194.429,424.479,7.0145
2005-08-01,61.89052042161,1867.841,3797.75,14892.727,1298.386,437.93,7.0334
2005-09-01,61.6876984127,1839.909,3857.841,14228.182,1397.523,456.048,7.1536
2005-10-01,58.18507936508,1928.714,4059.762,12402.857,1488.381,469.898,7.6705
2005-11-01,55.04282539683,2050.591,4269.341,12115.682,1610.932,476.666,7.8725
2005-12-01,56.42964285714,2247.45,4576.775,13429.25,1821.825,510.097,8.627
2006-01-01,62.45703968254,2377.857,4734.333,14555.238,2090.31,549.864,9.1391
2006-02-01,59.70492105263,2455.325,4982.4,14978.75,2219.375,554.995,9.5349
2006-03-01,60.92927536232,2429.13,5102.848,14897.391,2416.913,557.093,10.3838
2006-04-01,67.97057504873,2621.111,6387.778,17942.222,3084.778,610.653,12.6144
2006-05-01,68.6759486166,2861.476,8045.857,21077.143,3565.69,675.393,13.3772
2006-06-01,68.29015151515,2477.341,7197.614,20754.545,3225.682,596.145,10.7964
2006-07-01,72.4501336675,2512.714,7712.095,26586.19,3339.857,633.71,11.2324
2006-08-01,71.81188405797,2459.932,7695.659,30743.636,3347.295,632.593,12.1874
2006-09-01,62.12125396825,2472.881,7602.357,30130.714,3403.024,598.186,11.6769
2006-10-01,57.91046897547,2654.591,7500.386,32702.955,3822.955,585.78,11.5586
2006-11-01,58.14304545455,2702.795,7029.182,32113.864,4382.227,627.827,12.9311
2006-12-01,60.9944122807,2813.632,6675.105,34570.263,4405.395,629.791,13.2786
2007-01-01,53.51696969697,2809.341,5669.659,36811.136,3786.682,631.166,12.8413
2007-02-01,57.5625,2832.2,5676.45,41184.25,3309.5,664.745,13.91
2007-03-01,60.59984848485,2761.727,6452.477,46324.773,3271.295,654.895,13.1843
2007-04-01,65.05764035088,2814.789,7766.474,50266.842,3557.474,679.368,13.7233
2007-05-01,65.15725955204,2792.75,7681.42,52179.048,3831.26,667.31,13.1478
2007-06-01,68.1880952381,2676.93,7474.38,41718.571,3602.85,655.66,13.1443
2007-07-01,73.6016955267,2732.44,7972.57,33425.682,3545.58,665.38,12.9093
2007-08-01,70.1268115942,2515.773,7513.5,27652.273,3252.523,665.411,12.3343
2007-09-01,76.76243859649,2391.25,7648.975,29537.5,2881.4,712.653,12.8335
2007-10-01,81.96724637681,2442.37,8008.435,31055.435,2975.326,754.604,13.6704
2007-11-01,91.33826118326,2506.886,6966.705,30610.227,2541.318,806.248,14.7016
2007-12-01,89.51994152047,2381.694,6587.667,25991.944,2353.083,803.203,14.3036
2008-01-01,90.68993506494,2445.523,7061.023,27689.545,2340.114,889.595,15.9089
2008-02-01,93.38759064327,2776.929,7887.69,27955.476,2438.143,922.298,17.569
2008-03-01,101.84283333333,3005.289,8439.289,31225.263,2511.474,968.434,19.3174
2008-04-01,108.75818181818,2959.273,8684.932,28763.182,2263.795,909.705,17.5
2008-05-01,122.63260894661,2902.9,8382.75,25735.0,2182.1,888.663,17.06
2008-06-01,131.52111111111,2957.857,8260.595,22549.048,1894.476,889.488,16.969
2008-07-01,132.82518445323,3071.239,8414.043,20160.217,1852.37,939.772,18.0339
2008-08-01,114.56682539683,2764.375,7634.7,18927.75,1723.275,839.025,14.635
2008-09-01,99.65676767677,2525.818,6990.864,17794.545,1735.477,829.932,12.373
2008-10-01,72.69275362319,2121.413,4925.696,12139.783,1302.109,806.62,10.4413
2008-11-01,53.97272807018,1852.425,3717.0,10701.5,1152.6,760.863,9.8652
2008-12-01,41.33892496393,1490.429,3071.976,9686.429,1100.571,816.092,10.2857
2009-01-01,43.85521428571,1413.119,3220.69,11306.905,1187.405,858.69,11.2682
2009-02-01,41.8436754386,1330.2,3314.725,10408.75,1112.075,943.0,13.4125
2009-03-01,46.6453030303,1335.841,3749.75,9696.364,1216.75,924.273,13.1168
2009-04-01,50.2780952381,1420.85,4406.55,11166.0,1378.85,890.2,12.4793
2009-05-01,58.15388888889,1460.447,4568.632,12634.737,1483.789,928.645,13.9838
2009-06-01,69.1496969697,1573.727,5013.955,14960.455,1557.273,945.67,14.6543
2009-07-01,64.66667325428,1667.957,5215.543,15984.565,1578.609,934.228,13.3617
2009-08-01,71.62968253968,1933.75,6165.3,19641.75,1821.675,949.375,14.3567
2009-09-01,68.34611111111,1834.114,6196.432,17473.182,1884.023,996.591,16.3895
2009-10-01,74.08060606061,1878.568,6287.977,18525.227,2071.591,1043.159,17.2361
2009-11-01,77.5523015873,1949.286,6675.595,16991.19,2193.381,1127.036,17.8213
2009-12-01,74.88181818182,2180.095,6981.714,17066.429,2375.952,1134.724,17.6422
2010-01-01,77.1210877193,2235.15,7386.25,18439.25,2434.45,1117.963,17.749
2010-02-01,74.76301559454,2048.925,6848.175,18976.0,2156.9,1095.413,15.873
2010-03-01,79.29768115942,2205.63,7462.826,22461.304,2275.065,1113.337,17.1061
2010-04-01,84.18285714286,2316.725,7745.075,26030.75,2366.675,1148.688,18.0623
2010-05-01,75.61831746032,2040.526,6837.684,22008.158,1968.368,1205.434,18.4333
2010-06-01,74.725,1931.386,6499.295,19388.636,1742.841,1232.92,18.4548
2010-07-01,74.5794011544,1988.273,6735.25,19517.5,1843.886,1192.966,17.9605
2010-08-01,75.82626984127,2118.143,7283.952,21413.333,2044.571,1215.81,18.3877
2010-09-01,76.11624098124,2162.341,7709.295,22643.409,2151.409,1270.977,20.5498
2010-10-01,81.71936507937,2346.57,8292.405,23807.381,2372.143,1342.024,23.3933
2010-11-01,84.53406349206,2333.068,8469.886,22909.318,2291.682,1369.886,26.5409
2010-12-01,90.00596179183,2350.667,9147.262,24111.19,2280.929,1390.553,29.3248
2011-01-01,92.6905952381,2439.525,9555.7,25646.25,2371.55,1360.46,28.5086
2011-02-01,97.9141920078,2508.175,9867.6,28252.25,2465.125,1374.68,30.7785
2011-03-01,108.6452173913,2555.5,9503.36,26710.35,2341.48,1423.26,35.8135
2011-04-01,116.24316666667,2678.11,9492.79,26408.33,2362.22,1480.89,42.6952
2011-05-01,108.06851298701,2596.45,8959.9,24236.73,2167.35,1512.58,37.3359
2011-06-01,105.84545454546,2557.76,9066.85,22420.93,2234.47,1529.36,35.795
2011-07-01,107.91661111111,2525.43,9650.46,23847.95,2397.75,1572.75,37.9171
2011-08-01,100.48642512077,2379.35,9000.76,21845.09,2200.17,1759.01,40.3313
2011-09-01,100.81935064935,2293.46,8300.14,20377.59,2075.22,1772.14,38.1545
2011-10-01,99.84775396825,2180.65,7394.19,19039.05,1871.42,1666.43,31.9748
2011-11-01,105.40501443001,2079.98,7581.02,17873.0,1935.32,1739.0,33.0818
2011-12-01,104.23047619048,2022.25,7565.48,18266.76,1904.73,1639.97,30.3032
2012-01-01,107.07457226399,2144.2,8040.47,19854.77,1981.86,1654.05,30.6509
2012-02-01,112.68752380952,2207.92,8441.49,20393.67,2057.79,1744.82,34.1405
2012-03-01,117.785,2184.16,8470.78,18660.81,2035.92,1675.95,32.9532
2012-04-01,113.6655,2049.67,8289.48,17939.79,2002.14,1649.2,31.5255
2012-05-01,104.0860342556,2007.63095238095,7955.64285714286,17068.1904761905,1936.0,1589.04,28.7196
2012-06-01,90.72825396825,1890.17857142857,7423.02380952381,16549.1428571429,1858.70238095238,1598.76,27.9836
2012-07-01,96.75411255411,1876.25,7584.26136363636,16128.4090909091,1847.75,1594.29,27.4318
2012-08-01,105.27363699103,1845.37608695652,7515.53260869565,15735.2065217391,1818.16304347826,1630.31,28.8002
2012-09-01,106.28496491228,2064.12,8087.74,17287.96,2009.85,1744.81,33.6085
2012-10-01,103.40786561265,1974.3,8062.03,17168.74,1903.96,1746.58,33.1874
2012-11-01,101.17441558442,1948.82954545455,7711.22727272727,16335.3636363636,1912.39772727273,1721.64,32.7732
2012-12-01,101.19366666667,2086.76315789474,7966.48684210526,17448.5,2040.42894736842,1684.762,31.8745
2013-01-01,105.10021645022,2037.75,8047.36,17472.5,2032.2,1671.84782608696,31.06173913043
2013-02-01,107.63743567252,2053.595,8060.925,17690.1,2128.6875,1627.57,30.3288
2013-03-01,102.5225,1909.56666666667,7645.58333333333,16724.9285714286,1926.07142857143,1593.08619047619,28.79095238095
2013-04-01,98.85196969697,1861.67045454545,7234.27954545454,15672.9545454545,1856.00454545455,1487.85727272727,25.355
2013-05-01,99.36663341489,1832.02173913043,7249.41304347826,14947.9565217391,1831.55434782609,1414.02695652174,23.03826086957
2013-06-01,99.74266666667,1814.5375,7000.2375,14280.275,1839.0125,1343.35,21.109
2013-07-01,105.25790513834,1769.60869565217,6906.64130434783,13750.3152173913,1837.61956521739,1285.51565217391,19.7102173913
2013-08-01,108.15763636364,1817.61590909091,7192.92045454545,14314.9318181818,1898.81818181818,1351.74181818182,21.89386363636
2013-09-01,108.75773015873,1761.30476190476,7159.26904761905,13801.3928571429,1846.88095238095,1348.6,22.5638
2013-10-01,105.42713438735,1814.58260869565,7203.02173913043,14117.652173913,1884.83695652174,1316.58,21.917
2013-11-01,102.62649122807,1747.96428571429,7070.65476190476,13684.0119047619,1866.41666666667,1275.86,20.7576
2013-12-01,105.48165079365,1739.81,7214.9,13924.55,1974.975,1221.5119047619,19.67
2014-01-01,102.09666666667,1727.41,7291.47,14101.25,2036.93,1244.27,19.875
2014-02-01,104.82666666667,1695.17,7149.21,14203.55,2034.53,1299.58,20.845
2014-03-01,104.04,1705.37,6650.04,15678.1,2007.9,1336.08,20.716
2014-04-01,104.86666666667,1810.67,6673.56,17373.6,2027.21,1298.45,19.736
2014-05-01,105.71333333333,1751.05,6891.13,19401.08,2058.97,1288.74,19.342
2014-06-01,108.37333333333,1838.95,6821.14,18628.81,2128.1,1279.1,19.892
2014-07-01,105.22666666667,1948.3,7113.38,19117.65,2310.62,1310.59,20.923
2014-08-01,100.05,2030.49,7001.84,18600.2,2326.99,1295.13,19.736
2014-09-01,95.85,1990.43,6872.22,18034.8,2294.59,1236.55,18.369
2014-10-01,86.08,1946.19,6737.48,15812.37,2276.83,1222.49,17.163
2014-11-01,76.99333333333,2055.55,6712.85,15807.05,2253.22,1175.33,15.966
2014-12-01,60.70333333333,1909.46,6446.45,15962.05,2175.76,1200.62,16.295
2015-01-01,47.10666666667,1814.72,5830.54,14849.19,2113.05,1250.75,17.236
2015-02-01,54.79,1817.82,5729.27,14573.84,2097.76,1227.08,16.787
2015-03-01,52.82666666667,1773.86,5939.67,13755.5,2028.73,1178.63,16.24
2015-04-01,57.54333333333,1819.19,6042.09,12830.92,2212.72,1198.93,16.341
2015-05-01,62.50666666667,1804.04,6294.78,13511.34,2281.8,1198.63,16.833
2015-06-01,61.30666666667,1687.73,5833.01,12825.23,2082.09,1181.5,16.075
2015-07-01,54.34,1639.5,5456.75,11413.1,2000.68,1128.31,15.053
2015-08-01,45.69,1548.13,5127.3,10386.0,1807.64,1117.93,14.941
2015-09-01,46.28,1589.6,5217.25,9937.55,1720.23,1124.77,14.75
2015-10-01,46.95666666667,1516.49,5216.09,10316.83,1724.34,1159.25,15.813
2015-11-01,43.11333333333,1467.89,4799.9,9244.33,1583.31,1086.44,14.452
2015-12-01,36.57333333333,1497.2,4638.83,8707.79,1527.79,1075.74,14.127
2016-01-01,29.78,1481.1,4471.79,8507.29,1520.36,1097.91,14.106
2016-02-01,31.03,1531.26,4598.62,8298.5,1709.85,1199.5,15.167
2016-03-01,37.34,1531.01,4953.8,8717.25,1801.69,1245.14,15.465
2016-04-01,40.75,1571.23,4872.74,8878.86,1855.37,1242.26,16.36
2016-05-01,45.93666666667,1550.63,4694.54,8660.35,1869.03,1260.95,16.947
2016-06-01,47.68666666667,1593.51,4641.97,8928.35,2026.19,1276.4,17.286
2016-07-01,44.12666666667,1629.05,4864.9,10262.86,2183.25,1336.66,19.992
2016-08-01,44.87666666667,1639.28,4751.67,10335.99,2279.14,1340.17,19.587
2016-09-01,45.04333333333,1592.36,4722.2,10191.78,2292.31,1326.61,19.357
2016-10-01,49.29333333333,1665.9,4731.26,10259.74,2311.5,1266.55,17.655
2016-11-01,45.26,1737.11,5450.93,11128.91,2566.2,1238.35,17.407
2016-12-01,52.62,1727.74,5660.35,10972.27,2664.81,1157.36,16.432
2017-01-01,53.59,1791.24,5754.56,9971.46,2714.8,1192.1,16.902
2017-02-01,54.35333333333,1860.75,5940.91,10643.3,2845.55,1234.2,17.933
2017-03-01,50.90333333333,1901.47,5824.63,10204.66,2776.88,1231.42,17.631
2017-04-01,52.16333333333,1921.22,5683.9,9609.28,2614.92,1266.88,18.033
2017-05-01,49.89333333333,1913.02,5599.56,9155.12,2590.21,1246.04,16.745
2017-06-01,46.16666666667,1885.29,5719.76,8931.76,2573.4,1260.26,16.931
2017-07-01,47.65666666667,1902.96,5985.12,9491.39,2787.19,1236.84,16.152
2017-08-01,49.94333333333,2030.01,6485.63,10889.98,2980.73,1283.04,16.952
2017-09-01,52.95,2096.49,6577.17,11215.79,3116.86,1314.07,17.432
2017-10-01,54.92,2131.49,6807.6,11335.77,3264.6,1279.51,16.941
2017-11-01,59.93333333333,2097.44,6826.55,11972.0,3229.31,1281.9,16.977
2017-12-01,61.18666666667,2080.47,6833.89,11495.11,3195.95,1264.45,16.165
2018-01-01,66.22666666667,2209.73,7065.85,12864.88,3441.52,1331.3,17.127
2018-02-01,63.46,2181.79,7006.52,13595.88,3532.9,1330.73,16.582
2018-03-01,64.16666666667,2069.24,6799.18,13392.5,3269.18,1324.66,16.473
2018-04-01,68.79333333333,2254.69,6851.51,13938.1,3188.05,1334.76,16.648
2018-05-01,73.43,2299.67,6825.27,14366.49,3059.87,1303.45,16.49
2018-06-01,71.97666666667,2237.62,6965.86,15105.65,3088.57,1281.57,16.541
2018-07-01,72.66666666667,2082.24,6250.75,13793.86,2656.13,1237.71,15.723
2018-08-01,71.08333333333,2051.51,6051.05,13411.35,2512.0,1201.71,14.987
2018-09-01,75.36333333333,2026.46,6050.76,12510.35,2434.68,1198.39,14.272
2018-10-01,76.72666666667,2029.86,6219.59,12314.91,2673.67,1215.39,14.597
2018-11-01,62.31666666667,1938.51,6195.92,11239.72,2595.69,1220.65,14.353
2018-12-01,53.96,1920.38,6075.32,10835.08,2616.29,1250.4,14.772
2019-01-01,56.58333333333,1853.72,5939.1,11523.09,2569.7,1291.75,15.624
2019-02-01,61.13333333333,1862.99,6300.49,12685.23,2707.19,1320.07,15.815
2019-03-01,63.78666666667,1871.21,6439.46,13026.27,2850.6,1300.9,15.296
2019-04-01,68.57666666667,1845.42,6438.36,12772.79,2932.65,1285.91,15.055
2019-05-01,66.83333333333,1781.26,6017.9,12016.31,2742.81,1283.7,14.662
2019-06-01,59.76,1755.95,5882.23,11943.94,2601.22,1359.04,15.036
2019-07-01,61.47666666667,1796.99,5941.2,13546.3,2446.51,1412.89,15.791
2019-08-01,57.67,1740.68,5709.44,15748.64,2273.01,1500.41,17.224
2019-09-01,60.04,1753.51,5759.25,17656.88,2331.56,1510.58,18.16
2019-10-01,57.27333333333,1725.96,5757.3,17046.22,2451.65,1494.81,17.645
2019-11-01,60.40333333333,1774.79,5859.95,15171.81,2425.48,1470.79,17.165
2019-12-01,63.35333333333,1771.38,6077.06,13829.42,2272.54,1479.13,17.138
2020-01-01,61.62666666667,1773.09,6031.21,13506.86,2354.31,1560.67,17.972
2020-02-01,53.34666666667,1688.1,5687.75,12715.55,2113.24,1597.1,17.88
2020-03-01,32.20333333333,1610.89,5182.63,11846.23,1903.63,1591.93,14.884
2020-04-01,21.04333333333,1459.93,5057.97,11804.01,1903.37,1683.17,15.065
2020-05-01,30.38,1466.37,5239.83,12179.61,1975.32,1715.91,16.256
2020-06-01,39.45666666667,1568.57,5754.6,12727.15,2025.71,1732.22,17.713
2020-07-01,42.06666666667,1643.81,6372.46,13402.3,2177.2,1846.51,20.647
2020-08-01,43.44333333333,1737.26,6498.94,14537.75,2410.05,1968.63,27.003
2020-09-01,40.59666666667,1743.77,6704.9,14857.49,2442.46,1921.92,25.742
2020-10-01,39.9,1806.1,6713.81,15239.36,2440.65,1900.27,24.23
2020-11-01,42.30333333333,1935.28,7068.91,15807.73,2671.6,1866.3,24.079
2020-12-01,48.72666666667,2014.67,7772.24,16823.04,2779.85,1858.42,24.968
2021-01-01,53.60333333333,2003.98,7972.15,17863.18,2705.34,1866.98,25.88
2021-02-01,60.46333333333,2078.59,8470.94,18584.38,2744.5,1808.17,27.293
2021-03-01,63.83,2190.48,8988.25,16406.66,2791.94,1718.23,25.648
2021-04-01,62.95,2319.39,9324.82,16521.25,2829.01,1760.04,25.687
2021-05-01,66.4,2433.53,10161.97,17577.06,2965.73,1850.26,27.504
2021-06-01,71.80333333333,2446.65,9631.5,17979.57,2951.85,1834.57,26.995
2021-07-01,73.28333333333,2497.64,9450.82,18818.51,2947.52,1807.84,25.677
2021-08-01,68.86666666667,2602.99,9370.14,19141.3,2987.95,1785.28,23.986
2021-09-01,72.8,2834.56,9324.71,19376.88,3036.02,1775.14,23.185
2021-10-01,82.06333333333,2934.39,9829.22,19362.39,3359.91,1776.85,23.413
2021-11-01,79.91666666667,2636.45,9728.9,19932.86,3311.27,1821.76,24.175
2021-12-01,72.86666666667,2695.53,9551.18,20015.55,3399.21,1790.43,22.532
2022-01-01,83.92,3005.98,9782.34,22355.4,3599.14,1816.02,23.158
2022-02-01,93.54333333333,3245.79,9943.17,24015.55,3620.04,1856.3,23.542
2022-03-01,112.39666666667,3498.37,10230.89,33924.18,3962.21,1947.83,25.314
2022-04-01,103.41333333333,3244.41,10161.38,33132.74,4360.43,1936.86,24.545
2022-05-01,110.09666666667,2830.32,9377.15,28062.55,3751.48,1848.5,21.905
2022-06-01,116.8,2563.44,9024.46,25658.63,3629.73,1836.57,21.556
2022-07-01,105.08333333333,2408.42,7544.81,21481.89,3105.36,1732.74,19.075
2022-08-01,95.97333333333,2430.79,7981.84,22057.39,3587.57,1764.56,19.724
2022-09-01,88.22,2224.76,7746.01,22773.97,3124.97,1680.78,18.944
2022-10-01,90.32666666667,2255.54,7651.08,22032.89,2967.21,1664.45,19.426
2022-11-01,87.37666666667,2350.72,8049.86,25562.7,2938.92,1725.07,21.018
2022-12-01,78.06666666667,2401.69,8375.4,28946.81,3129.48,1797.55,23.326
2023-01-01,80.41,2501.82,9037.95,28194.61,3309.81,1897.71,23.653
2023-02-01,80.25333333333,2416.18,8936.59,26727.95,3133.84,1854.54,21.921
2023-03-01,76.47333333333,2296.42,8856.31,23288.61,2967.46,1912.73,21.976
2023-04-01,82.46,2343.23,8809.42,23894.56,2767.56,1999.77,25.01
2023-05-01,74.12333333333,2268.6,8217.47,21970.39,2475.7,1992.13,24.267
2023-06-01,73.26333333333,2184.75,8396.52,21233.28,2375.45,1942.9,23.417
2023-07-01,78.98333333333,2159.73,8476.68,21091.26,2404.65,1951.02,24.256
2023-08-01,84.72433333333,2136.57,8349.13,20438.65,2406.72,1918.7,23.437
2023-09-01,92.22,2184.67,8276.71,19644.64,2495.5,1915.95,23.101
2023-10-01,89.08366666667,2192.21,7937.18,18281.23,2448.56,1916.25,22.379
2023-11-01,81.35433333333,2202.26,8189.59,17027.36,2543.61,1984.11,23.488
2023-12-01,75.71933333333,2182.43,8399.94,16460.84,2502.39,2026.18,23.878
2024-01-01,77.67233333333,2192.82,8338.88,16103.83,2515.42,2034.04,22.916
2024-02-01,80.548,2179.46,8304.95,16338.46,2360.09,2023.24,22.657
2024-03-01,83.54566666667,2226.16,8689.13,17438.83,2461.04,2158.01,24.518
2024-04-01,88.01133333333,2506.1,9464.43,18163.95,2732.74,2331.45,27.494
2024-05-01,81.445,2564.54,10139.33,19586.98,2959.13,2351.13,29.36
2024-06-01,81.205,2497.61,9648.17,17498.01,2809.19,2326.44,29.577
2024-07-01,83.25866666667,2349.13,9385.31,16334.88,2777.27,2398.2,29.773
2024-08-01,78.121,2343.67,8971.96,16292.12,2714.08,2470.15,28.53
2024-09-01,72.42433333333,2449.92,9237.48,16076.74,2837.02,2570.55,30.131
2024-10-01,73.97066666667,2595.58,9533.99,16765.8,3105.77,2690.08,32.416
2024-11-01,72.29166666667,2582.19,9075.73,15723.06,3004.2,2651.13,31.094
2024-12-01,72.311,2541.02,8916.32,15444.89,3034.16,2648.01,30.764
2025-01-01,78.162,2573.4,8991.41,15394.14,2818.96,2709.69,30.411
2025-02-01,73.819,2657.6,9330.6,15288.09,2800.14,2894.73,32.152
2025-03-01,70.70133333333,2658.29,9739.68,16065.69,2889.29,2983.25,33.188
2025-04-01,65.905,2371.6,9176.8,15113.29,2621.55,3217.64,32.225
2025-05-01,62.74866666667,2448.79,9532.98,15345.79,2644.37,3309.49,32.763
2025-06-01,69.14666666667,2525.96,9835.07,15003.11,2654.65,3352.66,36.005
2025-07-01,69.19033333333,2606.37,9770.58,15034.02,2762.56,3340.15,37.698
2025-08-01,66.71766666667,2597.34,9669.56,14949.25,2789.15,3368.03,38.185
2025-09-01,66.457,2653.32,9983.79,15105.64,2932.96,3667.68,42.816
2025-10-01,63.04033333333,2793.09,10739.91,15092.12,3152.0,4058.33,49.439
2025-11-01,62.33633333333,2819.06,10812.03,14670.77,3176.84,4087.19,50.432
2025-12-01,60.88,2875.53,11785.25,14883.99,3167.87,4309.23,62.342
2026-01-01,63.652,3141.89,13012.0,17768.5,3212.68,4752.75,92.062
2026-02-01,68.01466666667,3065.19,12951.35,17173.1,3323.71,5019.97,81.946
